event_id,timestamp,client_age,client_income,client_family,client_education,client_experience,client_securities_account,client_cd_account,client_online,client_credit_card,passed_suitability,suitability_block_reason,arm_shown,offer_shown,decision_type,converted,immediate_reward,delayed_reward_available
20,2024-01-01T17:08:00,40,84,1,3,15,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
21,2024-01-02T17:52:00,53,69,4,2,29,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
22,2024-01-02T09:19:00,28,111,4,3,2,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
23,2024-01-02T19:46:00,31,21,1,2,5,0,0,1,0,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
24,2024-01-02T19:06:00,31,83,4,2,6,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
25,2024-01-02T19:07:00,43,58,2,1,19,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
26,2024-01-02T09:39:00,60,108,1,1,35,1,0,0,0,True,,1,banner_loan_standard,exploration,0,-0.01,False
27,2024-01-02T11:01:00,56,141,2,1,30,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
28,2024-01-02T11:53:00,45,34,3,1,19,1,0,0,0,True,,1,banner_loan_standard,exploitation,0,-0.01,False
29,2024-01-02T20:17:00,65,113,4,3,39,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
30,2024-01-02T17:43:00,38,191,2,1,13,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
31,2024-01-02T09:09:00,25,13,4,1,1,0,0,0,1,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
32,2024-01-02T21:35:00,27,35,1,2,3,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
33,2024-01-02T21:30:00,26,44,1,2,-1,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
34,2024-01-02T15:13:00,61,41,4,2,34,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
35,2024-01-02T21:39:00,31,78,2,1,5,0,0,0,1,True,,0,no_offer,exploration,0,0.0,False
36,2024-01-02T12:15:00,34,152,2,1,10,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
37,2024-01-02T20:17:00,29,182,1,3,4,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
38,2024-01-02T12:23:00,33,140,1,1,8,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
39,2024-01-02T17:24:00,62,84,2,1,36,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
40,2024-01-02T16:28:00,34,70,4,1,9,1,0,0,0,True,,1,banner_loan_standard,exploitation,0,-0.01,False
41,2024-01-03T20:00:00,29,71,2,3,-1,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
42,2024-01-03T15:00:00,31,64,2,1,6,0,0,1,1,True,,0,no_offer,exploration,0,0.0,False
43,2024-01-03T10:16:00,30,35,2,2,4,1,0,0,1,True,,1,banner_loan_standard,exploration,1,1.0,False
44,2024-01-03T15:34:00,55,124,2,1,31,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
45,2024-01-03T10:32:00,43,41,1,3,18,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
46,2024-01-03T17:40:00,34,85,1,1,8,0,0,0,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
47,2024-01-03T19:06:00,30,131,3,3,5,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
48,2024-01-03T16:07:00,25,72,3,1,1,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
49,2024-01-03T14:22:00,31,60,4,2,4,0,0,1,1,True,,1,banner_loan_standard,exploitation,1,1.0,False
50,2024-01-03T21:23:00,39,69,3,2,13,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
51,2024-01-03T13:26:00,64,63,2,3,38,1,0,1,0,True,,1,banner_loan_standard,exploitation,0,-0.01,False
52,2024-01-03T21:02:00,43,63,3,3,18,1,0,0,0,True,,1,banner_loan_standard,exploitation,0,-0.01,False
53,2024-01-03T08:04:00,33,22,1,2,7,0,0,0,0,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
54,2024-01-03T17:54:00,33,61,3,2,9,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
55,2024-01-03T21:38:00,30,18,3,3,6,0,0,0,0,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
56,2024-01-03T18:08:00,24,80,2,3,-2,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
57,2024-01-03T17:41:00,63,132,1,2,37,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
58,2024-01-03T14:48:00,58,41,3,1,34,0,0,1,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
59,2024-01-03T11:31:00,56,34,2,2,30,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
60,2024-01-03T11:29:00,29,31,4,2,2,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
61,2024-01-04T20:14:00,39,54,2,2,14,0,0,0,1,True,,0,no_offer,exploration,0,0.0,False
62,2024-01-04T14:58:00,52,45,2,2,27,0,0,0,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
63,2024-01-04T10:21:00,55,95,2,3,25,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
64,2024-01-04T19:01:00,29,135,2,1,5,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
65,2024-01-04T17:44:00,29,148,3,1,3,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
66,2024-01-04T19:27:00,51,53,1,3,27,0,0,0,1,True,,1,banner_loan_standard,exploitation,1,1.0,False
67,2024-01-04T21:10:00,45,40,2,1,20,0,0,0,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
68,2024-01-04T16:38:00,29,124,2,1,5,0,0,0,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
69,2024-01-04T18:56:00,27,83,2,1,1,0,0,0,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
70,2024-01-04T11:12:00,59,21,2,2,34,0,0,1,0,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
71,2024-01-04T16:02:00,49,149,2,1,25,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
72,2024-01-04T21:36:00,63,39,2,3,37,0,0,1,1,True,,1,banner_loan_standard,exploration,0,-0.01,False
73,2024-01-04T15:14:00,45,61,3,1,21,1,1,1,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
74,2024-01-04T18:53:00,54,70,1,3,30,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
75,2024-01-04T15:40:00,45,151,2,1,21,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
76,2024-01-04T11:48:00,28,104,3,1,4,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
77,2024-01-04T21:38:00,36,33,4,2,10,1,0,1,0,True,,1,banner_loan_standard,exploration,0,-0.01,False
78,2024-01-04T08:55:00,47,39,3,2,21,0,0,1,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
79,2024-01-04T09:01:00,32,111,1,1,7,1,0,0,0,True,,0,no_offer,exploration,0,0.0,False
80,2024-01-04T19:53:00,50,128,2,1,26,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
81,2024-01-05T10:01:00,52,110,2,3,26,1,1,1,0,True,,1,banner_loan_standard,exploration,0,-0.01,False
82,2024-01-05T13:31:00,44,62,3,3,20,0,0,0,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
83,2024-01-05T14:03:00,60,129,2,1,36,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
84,2024-01-05T14:10:00,39,62,4,1,15,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
85,2024-01-05T15:58:00,45,152,2,1,21,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
86,2024-01-05T08:37:00,63,118,1,1,37,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
87,2024-01-05T15:04:00,55,79,2,3,30,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
88,2024-01-05T11:33:00,27,201,1,1,3,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
89,2024-01-05T13:21:00,61,23,3,2,37,0,0,0,0,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
90,2024-01-05T08:08:00,38,64,1,3,14,0,0,0,1,True,,1,banner_loan_standard,exploitation,1,1.0,False
91,2024-01-05T19:58:00,53,12,2,2,26,0,0,0,1,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
92,2024-01-05T13:15:00,24,39,2,2,-1,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
93,2024-01-05T20:02:00,29,182,1,3,4,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
94,2024-01-05T11:59:00,52,155,3,2,26,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
95,2024-01-05T18:35:00,29,123,2,1,5,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
96,2024-01-05T10:19:00,55,69,4,3,30,1,1,1,1,True,,0,no_offer,exploration,0,0.0,False
97,2024-01-05T08:39:00,57,79,3,1,31,0,0,0,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
98,2024-01-05T14:17:00,36,9,4,3,11,0,0,0,1,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
99,2024-01-05T16:24:00,39,93,1,3,13,0,0,0,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
100,2024-01-05T17:34:00,49,84,3,1,23,1,0,1,0,True,,1,banner_loan_standard,exploitation,0,-0.01,False
101,2024-01-06T14:59:00,29,31,4,2,3,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
102,2024-01-06T17:47:00,40,19,4,2,16,0,0,1,1,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
103,2024-01-06T16:51:00,44,39,2,3,20,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
104,2024-01-06T21:11:00,54,93,1,1,28,0,1,1,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
105,2024-01-06T14:08:00,54,32,2,3,29,0,0,1,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
106,2024-01-06T16:34:00,45,59,2,1,21,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
107,2024-01-06T11:23:00,40,83,4,1,16,0,0,1,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
108,2024-01-06T13:55:00,33,32,1,3,7,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
109,2024-01-06T08:23:00,38,191,2,1,13,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
110,2024-01-06T11:10:00,45,121,1,1,21,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
111,2024-01-06T08:07:00,61,23,3,2,37,0,0,0,0,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
112,2024-01-06T21:34:00,46,144,2,1,22,0,0,1,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
113,2024-01-06T21:24:00,33,54,2,2,6,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
114,2024-01-06T10:24:00,64,171,2,1,40,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
115,2024-01-06T20:17:00,44,185,3,1,20,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
116,2024-01-06T21:17:00,59,31,3,2,35,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
117,2024-01-06T09:53:00,65,83,3,3,41,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
118,2024-01-06T10:15:00,36,44,2,2,11,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
119,2024-01-06T20:40:00,37,22,3,2,11,0,0,1,1,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
120,2024-01-06T11:32:00,44,19,1,3,14,0,0,0,1,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
121,2024-01-07T11:32:00,63,14,4,2,38,0,0,1,1,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
122,2024-01-07T21:20:00,36,18,1,3,12,0,0,0,1,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
123,2024-01-07T11:55:00,32,28,3,1,6,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
124,2024-01-07T15:06:00,26,155,2,1,0,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
125,2024-01-07T10:16:00,59,34,2,1,33,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
126,2024-01-07T08:47:00,40,140,3,1,16,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
127,2024-01-07T19:58:00,62,18,3,2,37,0,0,1,0,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
128,2024-01-07T10:21:00,28,93,2,1,2,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
129,2024-01-07T14:21:00,45,109,3,1,19,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
130,2024-01-07T21:29:00,57,43,1,1,31,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
131,2024-01-07T13:37:00,62,95,3,1,37,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
132,2024-01-07T20:50:00,63,149,2,3,37,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
133,2024-01-07T13:07:00,62,19,4,2,37,1,0,0,0,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
134,2024-01-07T21:32:00,35,45,1,1,9,0,0,1,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
135,2024-01-07T12:59:00,39,30,4,1,15,1,0,0,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
136,2024-01-07T10:48:00,36,42,4,2,10,0,0,1,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
137,2024-01-07T08:43:00,61,193,1,3,36,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
138,2024-01-07T19:29:00,39,79,2,2,15,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
139,2024-01-07T10:59:00,57,64,3,1,31,0,0,0,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
140,2024-01-07T16:36:00,48,25,4,2,24,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
141,2024-01-08T15:28:00,57,134,4,1,33,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
142,2024-01-08T10:59:00,55,39,3,2,28,0,0,1,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
143,2024-01-08T12:31:00,51,29,4,1,25,0,0,1,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
144,2024-01-08T09:24:00,63,160,2,1,39,0,0,0,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
145,2024-01-08T10:39:00,32,142,4,2,8,0,1,1,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
146,2024-01-08T13:22:00,29,190,2,1,3,0,0,1,1,True,,1,banner_loan_standard,exploration,0,-0.01,False
147,2024-01-08T17:01:00,38,182,3,3,14,0,1,1,1,True,,0,no_offer,exploration,0,0.0,False
148,2024-01-08T17:16:00,34,84,4,2,9,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
149,2024-01-08T13:47:00,54,25,4,3,24,0,0,0,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
150,2024-01-08T14:28:00,47,63,1,3,23,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
151,2024-01-08T17:54:00,30,181,1,1,6,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
152,2024-01-08T17:34:00,64,73,3,1,39,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
153,2024-01-08T09:24:00,55,60,3,3,29,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
154,2024-01-08T14:56:00,31,71,1,1,7,1,0,0,0,True,,1,banner_loan_standard,exploitation,1,1.0,False
155,2024-01-08T11:44:00,62,19,3,2,37,0,0,1,0,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
156,2024-01-08T11:00:00,50,62,2,3,24,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
157,2024-01-08T15:45:00,65,53,1,3,39,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
158,2024-01-08T21:11:00,58,32,3,1,32,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
159,2024-01-08T10:22:00,62,92,2,2,36,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
160,2024-01-08T14:21:00,54,133,1,2,30,0,0,0,1,True,,1,banner_loan_standard,exploration,1,1.0,False
161,2024-01-09T10:24:00,54,12,2,3,29,0,0,1,0,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
162,2024-01-09T17:21:00,47,65,1,1,23,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
163,2024-01-09T11:41:00,48,173,3,1,23,0,1,1,1,True,,1,banner_loan_standard,exploitation,1,1.0,False
164,2024-01-09T13:14:00,47,24,4,2,22,0,0,1,0,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
165,2024-01-09T13:42:00,51,78,1,1,26,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
166,2024-01-09T19:36:00,27,142,3,1,1,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
167,2024-01-09T08:07:00,58,98,1,1,33,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
168,2024-01-09T12:38:00,26,132,3,3,0,0,0,0,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
169,2024-01-09T11:05:00,29,44,4,2,4,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
170,2024-01-09T10:54:00,38,30,2,3,12,0,0,0,1,True,,1,banner_loan_standard,exploration,0,-0.01,False
171,2024-01-09T15:51:00,57,55,4,1,32,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
172,2024-01-09T21:18:00,58,60,2,2,33,1,0,1,0,True,,1,banner_loan_standard,exploration,0,-0.01,False
173,2024-01-09T19:57:00,41,88,1,3,15,1,0,0,0,True,,1,banner_loan_standard,exploitation,0,-0.01,False
174,2024-01-09T14:25:00,39,138,1,2,12,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
175,2024-01-09T12:25:00,46,9,2,3,21,0,0,1,0,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
176,2024-01-09T12:22:00,30,154,1,1,6,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
177,2024-01-09T16:11:00,62,99,4,2,38,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
178,2024-01-09T12:00:00,32,14,3,3,8,0,0,0,0,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
179,2024-01-09T17:57:00,34,10,1,2,8,0,0,1,0,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
180,2024-01-09T08:46:00,30,154,1,1,6,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
181,2024-01-10T16:39:00,53,62,3,2,27,1,0,0,0,True,,1,banner_loan_standard,exploitation,0,-0.01,False
182,2024-01-10T20:52:00,35,79,4,2,9,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
183,2024-01-10T08:15:00,56,64,4,1,31,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
184,2024-01-10T20:38:00,37,70,2,1,13,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
185,2024-01-10T12:21:00,30,72,1,1,6,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
186,2024-01-10T17:15:00,48,114,2,3,23,1,0,0,0,True,,1,banner_loan_standard,exploitation,1,1.0,False
187,2024-01-10T10:36:00,59,52,2,3,34,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
188,2024-01-10T13:56:00,39,175,2,1,15,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
189,2024-01-10T08:29:00,30,49,3,2,4,0,0,0,1,True,,1,banner_loan_standard,exploitation,1,1.0,False
190,2024-01-10T21:51:00,26,49,3,2,0,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
191,2024-01-10T12:11:00,32,112,4,2,6,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
192,2024-01-10T14:35:00,58,28,2,2,33,1,0,1,0,True,,1,banner_loan_standard,exploration,0,-0.01,False
193,2024-01-10T08:29:00,30,184,1,1,6,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
194,2024-01-10T12:22:00,54,40,2,3,30,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
195,2024-01-10T17:09:00,49,59,3,1,23,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
196,2024-01-10T13:04:00,63,129,1,1,38,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
197,2024-01-10T17:57:00,45,201,2,1,20,0,0,1,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
198,2024-01-10T10:57:00,43,91,1,1,17,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
199,2024-01-10T08:55:00,51,44,3,3,25,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
200,2024-01-10T15:15:00,29,35,2,1,3,0,1,1,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
201,2024-01-11T14:01:00,58,39,2,3,33,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
202,2024-01-11T08:27:00,51,180,1,1,25,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
203,2024-01-11T18:19:00,46,111,1,1,20,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
204,2024-01-11T19:32:00,36,74,1,1,10,0,0,0,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
205,2024-01-11T08:50:00,56,22,1,3,32,0,0,1,1,False,renda_abaixo_minimo,0,no_offer,blocked,0,0.0,False
206,2024-01-11T18:36:00,62,92,2,2,36,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
207,2024-01-11T19:02:00,31,44,4,1,6,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
208,2024-01-11T08:32:00,33,84,1,3,7,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
209,2024-01-11T20:12:00,42,91,1,2,17,0,0,1,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
210,2024-01-11T20:50:00,55,92,1,3,25,0,0,0,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
211,2024-01-11T09:34:00,35,30,4,1,9,0,0,1,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
212,2024-01-11T14:16:00,55,94,1,3,29,0,0,0,0,False,sem_relacionamento_bancario,0,no_offer,blocked,0,0.0,False
213,2024-01-11T17:25:00,50,44,4,1,24,0,0,1,1,True,,1,banner_loan_standard,exploitation,0,-0.01,False
